algorithm,system_mean_mbps,jain_flow_throughput,flow_0_mean_mbps,flow_1_mean_mbps,flow_2_mean_mbps,flow_3_mean_mbps,flow_4_mean_mbps,flow_5_mean_mbps,flow_6_mean_mbps,flow_7_mean_mbps
HOLD,3.195301408450559,0.9924214528352914,0.3270050704225193,0.36833014084505017,0.3877802816901202,0.4033515492957509,0.4150507042253315,0.42423943661969776,0.43126309859154344,0.43828112676054565
QMW,3.2351098591549428,0.9158991854727843,0.0801802816901408,0.4507042253521152,0.4507042253521123,0.45070422535211596,0.4507042253521156,0.4507042253521136,0.45070422535211463,0.4507042253521148
F-D-MW,3.1824383098591404,0.946603284036196,0.16298535211267615,0.3506383098591537,0.4192118309859086,0.4471802816901354,0.450309859154927,0.4507042253521153,0.45070422535211196,0.45070422535211213
