algorithm,all_active_interval_start_s,all_active_interval_end_s,all_active_interval_slots,fast_class_mean_mbps_while_all_active,slow_class_mean_mbps_while_all_active,slow_over_fast_ratio_while_all_active,hold_theoretical_slow_over_fast_ratio,post_arrival_system_mean_mbps
HOLD,22.5,77.94,5545,0.7635366095581628,0.332332732191163,0.43525448292973745,0.4444444444444444,3.0001095211267605
MR,22.5,46.160000000000004,2367,1.4455971694127585,0.0018132657372200952,0.0012543368066753298,0.4444444444444444,2.8871877183098604
QMW,nan,nan,0,nan,nan,nan,0.4444444444444444,2.9668272676056358
F-D-MW,nan,nan,0,nan,nan,nan,0.4444444444444444,2.9371895211267622
