channel_model,flows_in_each_class,hol_access_delay_ratio,channel_ratio
markov,1,1.0,0.5
markov,2,0.47563012146073835,0.5
markov,3,0.49392343398204686,0.5
markov,4,0.48748812410652687,0.5
markov,5,0.48619004317799314,0.5
markov,8,0.4923332253431729,0.5
markov,10,0.4998028478849992,0.5
markov,15,0.5092271190714422,0.5
markov,20,0.5105353104524674,0.5
markov,30,0.5125601279522825,0.5
markov,40,0.5130865630364768,0.5
markov,50,0.5135360952563759,0.5
